Nodo1,Nodo2,Seguridad,Calle,coord1lat1,coord1lat2,coord2lat1,coord2lat2,Distancia
1,2,3,Av. las Pumas,-12.172987736015655,-77.00708351545273,-12.172664734750896,-77.0066936072884,0.06
1,8,6,Andromeda,-12.172987736015655,-77.00708351545273,-12.171172463808672,-77.00872245146545,0.27
2,3,4,Av. las Pumas,-12.172664734750896,-77.0066936072884,-12.171831389673894,-77.00564283782865,0.15
3,4,6,Av. el Sol,-12.171831389673894,-77.00564283782865,-12.171430866303568,-77.00583448760432,0.05
4,5,7,Av. el Sol,-12.171430866303568,-77.00583448760432,-12.169518681889587,-77.0075791614243,0.28
5,6,5,C. Los Alarifes,-12.169518681889587,-77.0075791614243,-12.169796466290665,-77.00794924374976,0.05
6,7,4,C. Los Alarifes,-12.169796466290665,-77.00794924374976,-12.170784859595056,-77.00905949072612,0.16
7,8,3,Andromeda,-12.170784859595056,-77.00905949072612,-12.171172463808672,-77.00872245146545,0.06
8,9,4,Los Maestros,-12.171172463808672,-77.00872245146545,-12.170830080115786,-77.00832593468816,0.05
9,10,8,Los Maestros,-12.170830080115786,-77.00832593468816,-12.170558756875947,-77.00798228681454,0.05
10,11,8,Los Maestros,-12.170558756875947,-77.00798228681454,-12.170216372392124,-77.00762542171499,0.05
11,12,5,Los Compositores,-12.170216372392124,-77.00762542171499,-12.171663428334057,-77.00626404744636,0.05
12,13,5,C. Los Galenos,-12.171663428334057,-77.00626404744636,-12.17197351072465,-77.00663412977181,0.05
13,14,5,C. Los Galenos,-12.17197351072465,-77.00663412977181,-12.172302972868051,-77.00697777764546,0.05
14,9,6,Escalinata Cusco,-12.172302972868051,-77.00697777764546,-12.170830080115786,-77.00832593468816,0.22
13,10,8,C. Los Galenos,-12.17197351072465,-77.00663412977181,-12.170558756875947,-77.00798228681454,0.21
12,4,6,Los Compositores,-12.171663428334057,-77.00626404744636,-12.171430866303568,-77.00583448760432,0.05
